artist_id,artist_name
c9cc09e2-b620-4842-b3fd-a4380d4e9de6,Rocket Rockers
c7dba1b5-705e-4c28-917b-2733d0ed24be,Karin Lechner
58535f1d-855c-4b0e-a67b-c22f60d23124,Joost
f67b5d2c-5294-4524-9400-c7355d2508d6,People In The Box
8ddea377-b385-4773-8d7b-56dbd0f35603,Stavroz
2efec1f5-7d45-40c0-8628-c11bc91a0d81,Sheena Easton
ae70c97f-c5c6-4574-a390-e48bb0923f91,Hari Mahesh G
270f2f59-4898-4db9-a68d-3a4e70924a85,Pokey Bear
80a62d0f-bfad-4d99-9eee-713d60d618f7,Ralphi Rosario
3a3dc39d-1d6a-4fc8-8996-f96905f75dfe,Ruel
2b141f36-98cf-40c6-b742-6b8937b28f1f,V8
15f80fb8-3016-49fc-9d8a-760377907a9e,Méav
73eda9af-f3db-43de-a89c-e2b9e5ea0cdd,Forró Boys
9cde5669-34c5-4b57-b905-68a572c97c08,Rain Hard
70329184-fa55-4e1b-a6be-7c1897ca8417,Original West End Cast of Heathers
375b8fa6-052e-47f2-a51f-690d66aa8c64,Garrett Kato
e7fb6770-e283-434f-96d7-cf163e80f156,DJ Silvério
10d92a4c-cd6b-4e12-bf75-9899762b7c66,F.B. Piano Anime
1bd31945-6912-4101-ad32-767be37f5f6c,Claire Lynch
4cd5c869-6317-45b3-9a04-e432ab8e0cc7,Synthsoldier
4fb4e5bb-6a11-498a-abc5-8daee204e3d0,Raphael Pichon
c32062aa-c5a7-40b7-a60d-8ed391cf36a1,Chase & Status
94033b38-03d3-4bbc-bf0a-52604624f606,Calming Sounds
62a17c88-db6b-4f8d-803c-3bcf93a2d36a,Giuseppe Patanè
cdf0f132-a9aa-44e6-8673-01d1aacf0179,Kevin Saunderson
7c8e0b82-c5bf-44bd-b271-bc93e36bc436,Surge
933e415f-2567-48db-aa38-888744b88da6,ELLEGARDEN
a6b0ec84-16f4-48d8-bea4-f7b435dccbed,FAST BOY
b6ba373c-7a2a-4a23-9803-b6412831a352,Swastik The Band
4a678e06-1b9c-45d8-b9da-0c1ee4beb47c,Luisito Ayala Y La Puerto Rican Power
f7d04a18-37ab-4f2d-b59f-cd83e2c17a92,Rana Mazumder
37ce256c-3c91-42f6-8cc8-165330e58562,Suzan Erens
ccc44b3f-afb0-4699-b8f2-c7baed1b4ccd,Lazzo Matumbi
264a1a5a-4ce0-485d-9843-103efadf07fa,JJ Flores
dfca6167-1cbd-40c2-a9f4-b94c69b4602e,Wganda Kenya
865fb6b3-e194-4da0-bfc0-bcca51368a54,Rishab Rikhiram Sharma
99157ae8-ffb3-4851-b673-0d393f4924e3,Mini Thin
f7c42225-6e41-4636-9f40-09bf26849dce,Ondi Vil
dff26d97-23f0-4182-80b7-169df246a032,Moa Lisa
d158d8cd-2897-4b3e-8f87-1d9c9b5e77b5,Skelly
18517c02-ea6d-4e39-9cd8-da6a54db88c4,Agustín Irusta
0e3d0ace-dfce-4644-8464-c67a6772b7a2,Zalo Reyes
df2cfa07-66f9-4c6d-bfd0-2c16efca7ef6,Emmaculate
51d10fb1-49eb-4b01-a47b-2bf77c74f3a3,Pile
8916e396-8319-4138-b223-94a5fba7ff89,Muazzam
176d2efd-f09a-4e5e-875e-bf5755dc80ee,Turn.
ed97a418-afd6-4513-a857-101aa632dfc6,Pitch Black City
b2181288-9267-489f-ab41-b8c48118dfa6,Rennie Pilgrem
3ac2ebd3-befa-40fc-8158-9c70db747b11,Sueth
1be25458-9b05-42ff-bc81-ddc4d0ec6e15,troialexis
09061731-3c79-4863-9c4d-ce67a769bc8d,Eddie Neblett
b2ab0755-5fbf-4202-95c9-c8f94593be5f,Han Hee Jung
90cd4348-4783-4a78-8815-9acf04acb148,Soledad Pastorutti
a4c167f9-e1eb-4218-8320-48b703fab607,Michael Cleveland
7affe076-4827-4ebc-b4bf-eedf62e6425b,Los Xochimilcas
d749dd35-8199-42c5-b786-9d4e23ca739e,DAY 7
494e136d-4b61-4e99-a02f-a9e1a87d3ebd,Virginia To Vegas
2bb8e2a9-deaa-49d0-9fa1-ee4d859be6fe,Future Palace
fb6a98c9-124d-4d05-8272-4a86c4bf606e,Rumatera
fe3b383c-b014-4a37-a0bc-9eabd18bc872,Ferdinand Leitner
0e2d2dc9-18e4-4141-a663-96e2161bf142,Spelim
d3a33134-2d04-41f0-9655-54c9de1990d6,Christian Peterson-Bergling
301e4247-dda0-4993-9902-d62283b1cafa,Jogesh Jojo
9fd88d9b-2133-457a-80ec-8c1d4ed15460,Gwen McCrae
f9f42a40-243d-4a85-a0a1-0c364aa73b16,Sway and P Money
a4a1eb41-7b18-446b-b828-f4f033f9274a,Imad
